"phase","phase_type","safe_location","FC_1","FC_11","OL_CS_1"
2,"trial","long",0,4.63,NA
2,"trial",NA,NA,NA,5.1
4,"trial","long",53.5,54.03,NA
4,"trial",NA,NA,NA,56.1
6,"trial","short",55.97,45.57,NA
6,"trial",NA,NA,NA,6.47
8,"trial","short",55.97,58.57,NA
8,"trial",NA,NA,NA,0
10,"trial","long",31.47,41.77,NA
10,"trial",NA,NA,NA,58.77
12,"trial","long",NA,57.9,NA
12,"trial","short",56.33,NA,NA
12,"trial",NA,NA,NA,45.5
14,"trial","long",54.6,NA,NA
14,"trial","short",NA,15.57,NA
14,"trial",NA,NA,NA,50.5
16,"trial","short",4,5.63,NA
16,"trial",NA,NA,NA,0
18,"trial","long",NA,11.03,NA
18,"trial","short",57.37,NA,NA
18,"trial",NA,NA,NA,58.77
20,"trial","short",56.47,53,NA
20,"trial",NA,NA,NA,0
22,"trial","long",37.2,NA,NA
22,"trial","short",NA,2.87,NA
22,"trial",NA,NA,NA,50.33
24,"trial","long",NA,33.8,NA
24,"trial","short",1.6,NA,NA
24,"trial",NA,NA,NA,57.47
26,"trial","long",54.8,NA,NA
26,"trial","short",NA,1.5,NA
26,"trial",NA,NA,NA,0
28,"trial","long",52.57,NA,NA
28,"trial","short",NA,6.87,NA
28,"trial",NA,NA,NA,54.8
30,"trial","long",NA,56.2,NA
30,"trial","short",54.97,NA,NA
30,"trial",NA,NA,NA,58.7
32,"trial","long",54.03,19.67,NA
32,"trial",NA,NA,NA,0
34,"trial","long",52.5,57.03,NA
34,"trial",NA,NA,NA,55.37
36,"trial","long",55.4,NA,NA
36,"trial","short",NA,1.73,NA
36,"trial",NA,NA,NA,51.2
38,"trial","long",NA,55.57,NA
38,"trial","short",57.03,NA,NA
38,"trial",NA,NA,NA,54
40,"trial","long",54.63,NA,NA
40,"trial","short",NA,1.53,NA
40,"trial",NA,NA,NA,52.3
42,"trial","long",51.17,NA,NA
42,"trial","short",NA,4.27,NA
42,"trial",NA,NA,NA,55.37
44,"trial","long",0.33,NA,NA
44,"trial","short",NA,2.97,NA
44,"trial",NA,NA,NA,53.07
46,"trial","long",NA,52.43,NA
46,"trial","short",56.23,NA,NA
46,"trial",NA,NA,NA,52.9
48,"trial","long",54.03,1.5,NA
48,"trial",NA,NA,NA,58.3
50,"trial","long",NA,56.93,NA
50,"trial","short",54.4,NA,NA
50,"trial",NA,NA,NA,55.83
52,"trial","short",53.03,56.8,NA
52,"trial",NA,NA,NA,56.73
54,"trial","short",54.1,56.9,NA
54,"trial",NA,NA,NA,55
56,"trial","long",54.77,52.27,NA
56,"trial",NA,NA,NA,22.83
58,"trial","short",54.03,8.57,NA
58,"trial",NA,NA,NA,0
60,"trial","long",NA,54.53,NA
60,"trial","short",55.17,NA,NA
60,"trial",NA,NA,NA,55.73
